,id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
86,2925296.0,2024-02-13 04:17:56.735000+00:00,-3,-1,-1
87,2925297.0,2024-02-13 04:17:56.931000+00:00,-3,-1,-1
88,2925298.0,2024-02-13 04:17:57.561000+00:00,16,300000000,19
89,2925299.0,2024-02-13 04:18:01.386000+00:00,-3,-1,-1
90,2925300.0,2024-02-13 04:17:53.246000+00:00,5,233087600,141
91,2925301.0,2024-02-13 04:18:04.989000+00:00,-3,-1,-1
92,2925302.0,2024-02-13 04:18:08.711000+00:00,-3,-1,-1
93,2925303.0,2024-02-13 04:17:56.735000+00:00,-3,-1,-1
94,2925304.0,2024-02-13 04:18:12.196000+00:00,-3,-1,-1
95,2925305.0,2024-02-13 04:17:57.561000+00:00,16,300000000,19
96,2925306.0,2024-02-13 04:18:18.516000+00:00,-3,-1,-1
97,2925307.0,2024-02-13 04:18:23.176000+00:00,-3,-1,-1
98,2925308.0,2024-02-13 04:18:24.316000+00:00,-3,-1,-1
99,2925309.0,2024-02-13 04:18:23.176000+00:00,-3,-1,-1
100,2925310.0,2024-02-13 04:18:36.233000+00:00,-3,-1,-1
101,2925311.0,2024-02-13 04:18:38.398000+00:00,2,0,-1
102,2925312.0,2024-02-13 04:18:41.623000+00:00,16,300000000,19
103,2925313.0,2024-02-13 04:18:42.069000+00:00,-3,-1,-1
104,2925314.0,2024-02-13 04:18:38.398000+00:00,2,0,-1
105,2925315.0,2024-02-13 04:18:52.472000+00:00,-3,-1,-1
106,2925316.0,2024-02-13 04:18:41.623000+00:00,16,300000000,19
107,2925317.0,2024-02-13 04:19:00.761000+00:00,-3,-1,-1
108,2925318.0,2024-02-13 04:19:07.049000+00:00,-3,-1,-1
109,2925319.0,2024-02-13 04:19:14.616000+00:00,2,0,-1
110,2925320.0,2024-02-13 04:19:00.761000+00:00,-3,-1,-1
111,2925321.0,2024-02-13 04:19:17.690000+00:00,-3,-1,-1
112,2925322.0,2024-02-13 04:19:14.616000+00:00,2,0,-1
113,2925323.0,2024-02-13 04:19:38.945000+00:00,-3,-1,-1
114,2925324.0,2024-02-13 04:19:38.945000+00:00,-3,-1,-1
115,2925325.0,2024-02-13 04:19:51.665000+00:00,-3,-1,-1
116,2925326.0,2024-02-13 04:20:24.691000+00:00,2,0,-1
117,2925327.0,2024-02-13 04:20:28.238000+00:00,-3,-1,-1
118,2925328.0,2024-02-13 04:20:33.125000+00:00,-3,-1,-1
119,2925329.0,2024-02-13 04:20:24.691000+00:00,2,0,-1
120,2925330.0,2024-02-13 04:20:39.235000+00:00,-3,-1,-1
121,2925331.0,2024-02-13 04:20:50.741000+00:00,2,0,-1
122,2925332.0,2024-02-13 04:20:50.741000+00:00,2,0,-1
123,2925333.0,2024-02-13 04:21:14.833000+00:00,1,0,1730
124,2925334.0,2024-02-13 04:21:27.925000+00:00,-3,-1,-1
125,2925335.0,2024-02-13 04:21:14.833000+00:00,1,0,1730
126,2925336.0,2024-02-13 04:21:35.335000+00:00,-3,-1,-1
127,2925337.0,2024-02-13 04:21:46.892000+00:00,-3,-1,-1
128,2925338.0,2024-02-13 04:21:47.118000+00:00,-3,-1,-1
129,2925339.0,2024-02-13 04:21:47.118000+00:00,-3,-1,-1
130,2925340.0,2024-02-13 04:22:06.863000+00:00,2,0,726
131,2925341.0,2024-02-13 04:22:12.238000+00:00,-3,-1,-1
132,2925342.0,2024-02-13 04:22:14.202000+00:00,-3,-1,-1
133,2925343.0,2024-02-13 04:22:19.610000+00:00,-3,0,-1
134,2925344.0,2024-02-13 04:22:06.863000+00:00,2,0,726
135,2925345.0,2024-02-13 04:22:25.909000+00:00,-3,-1,-1
136,2925346.0,2024-02-13 04:22:26.367000+00:00,-3,-1,-1
137,2925347.0,2024-02-13 04:22:19.610000+00:00,-3,0,-1
138,2925348.0,2024-02-13 04:22:36.953000+00:00,-3,-1,-1
139,2925349.0,2024-02-13 04:22:47.668000+00:00,-3,0,-1
140,2925350.0,2024-02-13 04:22:47.766000+00:00,2,0,726
141,2925351.0,2024-02-13 04:22:48.842000+00:00,-3,-1,-1
142,2925352.0,2024-02-13 04:22:47.766000+00:00,2,0,726
143,2925353.0,2024-02-13 04:22:47.668000+00:00,-3,0,-1
144,2925354.0,2024-02-13 04:23:00.689000+00:00,-3,-1,-1
145,2925355.0,2024-02-13 04:24:34.247000+00:00,-3,-1,-1
146,2925356.0,2024-02-13 04:24:34.488000+00:00,-3,0,-1
147,2925357.0,2024-02-13 04:24:34.488000+00:00,-3,0,-1
148,2925358.0,2024-02-13 04:25:01.912000+00:00,-3,-1,-1
149,2925359.0,2024-02-13 04:27:08.410000+00:00,-3,-1,-1
150,2925360.0,2024-02-13 04:27:50.151000+00:00,7,0,-1
151,2925361.0,2024-02-13 04:27:57.201000+00:00,-3,-1,-1
152,2925362.0,2024-02-13 04:27:50.151000+00:00,7,0,-1
153,2925363.0,2024-02-13 04:28:07.926000+00:00,-3,-1,-1
154,2925364.0,2024-02-13 04:28:29.262000+00:00,7,0,-1
155,2925365.0,2024-02-13 04:28:35.758000+00:00,-3,-1,-1
156,2925366.0,2024-02-13 04:28:29.262000+00:00,7,0,-1
157,2925367.0,2024-02-13 04:29:00.520000+00:00,-3,-1,-1
158,2925368.0,2024-02-13 04:29:07.843000+00:00,-3,0,434
159,2925369.0,2024-02-13 04:29:13.698000+00:00,-3,-1,-1
160,2925370.0,2024-02-13 04:29:07.843000+00:00,-3,0,434
161,2925371.0,2024-02-13 04:29:24.720000+00:00,-3,-1,-1
162,2925372.0,2024-02-13 04:29:37.337000+00:00,-3,0,434
163,2925373.0,2024-02-13 04:29:43.968000+00:00,-3,-1,-1
164,2925374.0,2024-02-13 04:29:37.337000+00:00,-3,0,434
165,2925375.0,2024-02-13 04:29:43.968000+00:00,-3,-1,-1
166,2925376.0,2024-02-13 04:31:07.039000+00:00,-3,-1,-1
167,2925377.0,2024-02-13 04:31:49.036000+00:00,-3,19384938046,209
